Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
dior homme cologne 2013,dior,,5735,,,,,men,4.44,,,,citrus,white floral,fresh spicy,musky,powdery
dior homme cologne 2022,dior,,2185,,,,,men,4.53,,,,citrus,musky,fresh spicy,white floral,powdery
dior homme eau for men,dior,,2766,,,,,men,4.32,,,,iris,citrus,powdery,woody,aromatic
dior homme intense 2011,dior,,18272,,,,,men,4.5,,,,iris,woody,powdery,earthy,violet
dior homme original,dior,,849,,,,,men,4.63,,,,iris,earthy,aromatic,warm spicy,powdery
dior homme parfum,dior,,7676,,,,,men,4.55,,,,iris,woody,leather,powdery,violet
dior homme sport,dior,,3190,,,,,men,4.22,,,,citrus,aromatic,warm spicy,woody,fresh spicy
dior homme sport 2012,dior,,2512,,,,,men,4.34,,,,citrus,iris,warm spicy,powdery,woody
dior homme sport 2017,dior,,2013,,,,,men,4.1,,,,citrus,fresh spicy,aromatic,woody,
dior homme sport 2021,dior,,3316,,,,,men,4.34,,,,citrus,aromatic,woody,fresh spicy,amber
diorella,dior,,1584,,,,,women,4.2,,,,citrus,green,aromatic,white floral,earthy
dioressence,dior,,1188,,,,,women,4.27,,,,warm spicy,woody,earthy,aromatic,mossy
diorissimo,dior,,4611,,,,,women,4.14,,,,white floral,green,fresh,floral,
dolce,dolce gabbana,,4801,,,,,women,3.54,,,,floral,musky,fresh,powdery,aquatic
dolce amalfi,xerjoff,,2870,,,,,unisex,4.13,,,,warm spicy,amber,sweet,fruity,vanilla
dolce floral drops,dolce gabbana,,1012,,,,,women,3.7,,,,floral,fruity,fresh,green,aquatic
dolce gabbana,dolce gabbana,,4699,,,,,women,3.99,,,,aromatic,floral,fresh,white floral,aldehydic
dolce gabbana pour femme,dolce gabbana,,6816,,,,,women,4.01,,,,sweet,powdery,vanilla,fruity,white floral
dolce gabbana pour femme intense,dolce gabbana,,3372,,,,,women,4.04,,,,white floral,sweet,citrus,powdery,woody
dolce gabbana pour homme 1994,dolce gabbana,,3369,,,,,men,4.24,,,,aromatic,citrus,fresh spicy,warm spicy,lavender
dolce gabbana pour homme 2012,dolce gabbana,,4081,,,,,men,4.16,,,,citrus,fresh spicy,aromatic,lavender,tobacco
dolce gabbana pour homme intenso,dolce gabbana,,3009,,,,,men,3.78,,,,aromatic,fresh spicy,herbal,lavender,green
dolce gabbana the only one 2,dolce gabbana,,1646,,,,,women,3.74,,,,fruity,sweet,amber,rose,warm spicy
dolce garden,dolce gabbana,,3692,,,,,women,3.93,,,,floral,coconut,vanilla,sweet,tropical
dolce peony,dolce gabbana,,1026,,,,,women,3.86,,,,floral,fresh,fruity,sweet,rose
dolce rosa excelsa,dolce gabbana,,1114,,,,,women,3.62,,,,floral,rose,musky,fresh,aquatic
dolce shine,dolce gabbana,,1036,,,,,women,3.69,,,,white floral,fruity,sweet,tropical,ozonic
dolce vita,dior,,10145,,,,,women,4.05,,,,warm spicy,woody,powdery,vanilla,fruity
dreamer the original edition,versace,,5140,,,,,men,4.08,,,,aromatic,lavender,tobacco,sweet,fresh spicy
dune,dior,,12133,,,,,women,3.98,,,,woody,amber,balsamic,warm spicy,powdery
dune pour homme,dior,,2204,,,,,men,4.2,,,,woody,green,aromatic,fruity,fresh
eau de soleil blanc,tom ford,,3420,,,,,unisex,4.09,,,,citrus,white floral,coconut,sweet,vanilla
eau mega,viktor rolf,,752,,,,,women,3.76,,,,aquatic,fresh,fruity,ozonic,green
eau noire,dior,,1046,,,,,unisex,4.11,,,,aromatic,soft spicy,lavender,coffee,herbal
eau sauvage,dior,,5385,,,,,men,4.23,,,,aromatic,citrus,fresh spicy,woody,earthy
eau sauvage cologne,dior,,1077,,,,,men,4.17,,,,citrus,aromatic,green,fresh spicy,woody
eau sauvage extreme,dior,,1161,,,,,men,4.18,,,,aromatic,fresh spicy,citrus,woody,lavender
eau sauvage parfum,dior,,2569,,,,,men,4.35,,,,aromatic,amber,citrus,woody,earthy
eau sauvage parfum 2017,dior,,1936,,,,,men,4.38,,,,aromatic,citrus,fresh spicy,woody,lavender
ebene fume,tom ford,,2014,,,,,unisex,4.09,,,,woody,amber,smoky,balsamic,warm spicy
egoiste,chanel,,6511,,,,,men,4.21,,,,woody,warm spicy,cinnamon,rose,tobacco
egoiste platinum,chanel,,10102,,,,,men,4.22,,,,aromatic,fresh spicy,woody,lavender,green
electric cherry,tom ford,,987,,,,,unisex,3.55,,,,musky,cherry,sweet,soft spicy,amber
elle,yves saint laurent,,5981,,,,,women,4.06,,,,woody,floral,patchouli,fresh,rose
emporio armani because it s you,giorgio armani,,3170,,,,,women,3.8,,,,fruity,sweet,vanilla,rose,citrus
emporio armani diamonds,giorgio armani,,3322,,,,,women,3.75,,,,fruity,woody,sweet,rose,vanilla
emporio armani diamonds for men,giorgio armani,,1830,,,,,men,4.06,,,,woody,cacao,citrus,fresh spicy,warm spicy
emporio armani in love with you,giorgio armani,,1172,,,,,women,3.73,,,,fruity,sweet,patchouli,woody,rose
emporio armani lei,giorgio armani,,4129,,,,,women,4.17,,,,powdery,vanilla,woody,sweet,citrus
emporio armani lui,giorgio armani,,1422,,,,,men,4.15,,,,woody,citrus,aromatic,powdery,fruity
emporio armani stronger with you,giorgio armani,,7001,,,,,men,4.28,,,,vanilla,balsamic,nutty,sweet,aromatic
emporio armani stronger with you absolutely,giorgio armani,,4379,,,,,men,4.51,,,,vanilla,woody,balsamic,rum,aromatic
emporio armani stronger with you freeze,giorgio armani,,954,,,,,men,4.1,,,,citrus,warm spicy,woody,aromatic,sweet
emporio armani stronger with you intensely,giorgio armani,,9587,,,,,men,4.57,,,,vanilla,sweet,amber,cinnamon,warm spicy
emporio armani white for her,giorgio armani,,750,,,,,women,4.36,,,,citrus,woody,green,aromatic,musky
erba gold,xerjoff,,861,,,,,unisex,4.31,,,,citrus,fruity,warm spicy,fresh,sweet
erba pura,xerjoff,,6397,,,,,unisex,3.82,,,,fruity,citrus,sweet,musky,powdery
erolfa,creed,,1810,,,,,men,4.11,,,,citrus,woody,fresh spicy,green,aromatic
eros,versace,,20788,,,,,men,4.08,,,,vanilla,aromatic,green,fresh spicy,amber
eros eau de parfum,versace,,4711,,,,,men,4.35,,,,aromatic,citrus,green,vanilla,woody
eros flame,versace,,9687,,,,,men,4.3,,,,citrus,vanilla,fresh spicy,aromatic,woody
eros parfum,versace,,1439,,,,,men,4.28,,,,aromatic,amber,green,fresh spicy,vanilla
eros pour femme,versace,,4268,,,,,women,3.78,,,,citrus,white floral,woody,musky,floral
eros pour femme eau de toilette,versace,,2064,,,,,women,4.16,,,,citrus,fruity,sweet,white floral,floral
eternal oud,lattafa perfumes,,1065,,,,,unisex,4.24,,,,amber,vanilla,sweet,powdery,fruity
fahrenheit,dior,,18355,,,,,men,4.03,,,,leather,woody,ozonic,fresh spicy,animalic
fahrenheit 32,dior,,2348,,,,,men,4.06,,,,vanilla,white floral,sweet,citrus,aromatic
fahrenheit cologne,dior,,824,,,,,men,4.12,,,,citrus,woody,violet,aromatic,fresh spicy
fahrenheit le parfum,dior,,4141,,,,,men,4.3,,,,vanilla,ozonic,soft spicy,aquatic,rum
fakhar black,lattafa perfumes,,2461,,,,,men,4.28,,,,aromatic,woody,fresh spicy,fruity,citrus
fakhar rose,lattafa perfumes,,1317,,,,,women,4.18,,,,white floral,tuberose,fruity,sweet,animalic
feve delicieuse,dior,,2864,,,,,unisex,4.26,,,,sweet,vanilla,amber,warm spicy,cacao
feve delicieuse 2018,dior,,1121,,,,,unisex,4.18,,,,vanilla,sweet,amber,warm spicy,aromatic
fiero,xerjoff,,1067,,,,,men,4.13,,,,citrus,aromatic,fresh spicy,woody,green
figuier eden,giorgio armani,,1214,,,,,unisex,4.22,,,,green,fruity,citrus,sweet,fresh
fiore d ulivo,xerjoff,,1143,,,,,women,4,,,,floral,citrus,aromatic,fresh spicy,musky
fleur de portofino,tom ford,,1118,,,,,unisex,4.04,,,,white floral,citrus,floral,sweet,honey
fleur du male,jean paul gaultier,,2631,,,,,men,4.13,,,,herbal,aromatic,fresh spicy,citrus,green
fleurissimo,creed,,756,,,,,women,4.04,,,,tuberose,white floral,citrus,rose,animalic
flower market,maison martin margiela,,1621,,,,,women,3.68,,,,white floral,floral,tuberose,green,rose
flowerbomb,viktor rolf,,17964,,,,,women,3.92,,,,floral,patchouli,white floral,woody,citrus
flowerbomb dew,viktor rolf,,850,,,,,women,3.92,,,,powdery,musky,iris,woody,floral
flowerbomb midnight,viktor rolf,,989,,,,,women,3.87,,,,fruity,floral,musky,woody,white floral
flowerbomb nectar,viktor rolf,,2391,,,,,women,4.1,,,,vanilla,amber,aromatic,warm spicy,smoky
flowerbomb ruby orchid,viktor rolf,,1482,,,,,women,3.78,,,,vanilla,sweet,powdery,floral,fruity
forever and ever,dior,,1006,,,,,women,4.2,,,,floral,rose,fresh spicy,white floral,aromatic
fougere d argent,tom ford,,857,,,,,unisex,4.24,,,,woody,warm spicy,lavender,aromatic,oud
fragile,jean paul gaultier,,1586,,,,,women,4.09,,,,white floral,tuberose,citrus,warm spicy,floral
from the garden,maison martin margiela,,854,,,,,unisex,3.71,,,,aromatic,fresh spicy,green,citrus,patchouli
fucking fabulous,tom ford,,6592,,,,,unisex,3.8,,,,aromatic,leather,vanilla,almond,amber
gabrielle,chanel,,6989,,,,,women,3.67,,,,white floral,citrus,woody,sweet,fruity
gabrielle essence,chanel,,3148,,,,,women,4.03,,,,white floral,citrus,sweet,fruity,tuberose
galloway,parfums de marly,,1580,,,,,unisex,4.06,,,,citrus,musky,powdery,fresh spicy,white floral
gardenia,chanel,,1852,,,,,women,4.11,,,,white floral,green,tuberose,animalic,sweet
gaultier divine,jean paul gaultier,,2191,,,,,women,3.69,,,,white floral,sweet,aquatic,marine,aromatic
gio,giorgio armani,,1494,,,,,women,4.26,,,,white floral,warm spicy,woody,floral,amber
godolphin,parfums de marly,,2009,,,,,men,4.18,,,,leather,aromatic,fruity,animalic,woody
golden dallah,xerjoff,,943,,,,,unisex,4.16,,,,warm spicy,amber,woody,coffee,cacao
good fortune,viktor rolf,,1739,,,,,women,3.44,,,,white floral,vanilla,soft spicy,floral,fresh
gran ballo,xerjoff,,1368,,,,,women,3.75,,,,white floral,caramel,vanilla,sweet,amber
green irish tweed,creed,,9196,,,,,men,4.31,,,,citrus,ozonic,iris,powdery,woody
greenley,parfums de marly,,3379,,,,,unisex,4.23,,,,woody,citrus,fruity,powdery,green
grey vetiver,tom ford,,6933,,,,,men,4.29,,,,woody,aromatic,earthy,citrus,fresh spicy
grey vetiver eau de toilette,tom ford,,907,,,,,men,4.23,,,,citrus,aromatic,earthy,fresh spicy,woody
gris montaigne,dior,,841,,,,,women,4.27,,,,woody,earthy,patchouli,mossy,rose
habdan,parfums de marly,,1170,,,,,unisex,4.26,,,,amber,warm spicy,caramel,woody,balsamic
haltane,parfums de marly,,2089,,,,,men,4.36,,,,oud,sweet,aromatic,warm spicy,woody
hayaati,lattafa perfumes,,735,,,,,unisex,4.2,,,,fruity,cinnamon,musky,warm spicy,vanilla
herod,parfums de marly,,8151,,,,,men,4.45,,,,tobacco,vanilla,warm spicy,cinnamon,sweet
higher,dior,,1317,,,,,men,4.14,,,,aromatic,fresh spicy,fruity,woody,sweet
higher energy,dior,,1317,,,,,men,4.05,,,,fresh spicy,aromatic,woody,fruity,sweet
himalaya,creed,,2387,,,,,men,4.04,,,,citrus,woody,powdery,musky,amber
hunter intense,armaf,,888,,,,,men,4.28,,,,citrus,fresh spicy,aromatic,warm spicy,lavender
hypnotic poison,dior,,25173,,,,,women,4.09,,,,vanilla,sweet,almond,fruity,nutty
hypnotic poison eau de parfum,dior,,3987,,,,,women,4.16,,,,vanilla,sweet,soft spicy,almond,white floral
hypnotic poison eau secrete,dior,,1376,,,,,women,3.98,,,,citrus,vanilla,white floral,sweet,fresh spicy
hypnotic poison eau sensuelle,dior,,3993,,,,,women,4.16,,,,vanilla,sweet,powdery,woody,white floral
idole d armani,giorgio armani,,2365,,,,,women,3.8,,,,warm spicy,sweet,citrus,fruity,fresh
in love again,yves saint laurent,,1659,,,,,women,4.24,,,,fruity,aromatic,green,citrus,fresh spicy
infusion d homme,prada,,2550,,,,,men,4.24,,,,powdery,iris,woody,amber,aromatic
infusion d iris,prada,,10116,,,,,women,4.11,,,,iris,woody,amber,powdery,citrus
infusion d iris eau de parfum absolue,prada,,1036,,,,,women,4.37,,,,iris,vanilla,powdery,amber,balsamic
infusion de fleur d oranger,prada,,1040,,,,,women,3.94,,,,white floral,citrus,tuberose,,
italica,xerjoff,,1329,,,,,unisex,4.11,,,,sweet,almond,vanilla,woody,warm spicy
italica 2021,xerjoff,,2843,,,,,unisex,3.85,,,,sweet,lactonic,almond,vanilla,nutty
j adore,dior,,25013,,,,,women,3.78,,,,white floral,floral,fruity,sweet,fresh
j adore absolu,dior,,918,,,,,women,4.04,,,,white floral,floral,tuberose,citrus,rose
j adore eau de toilette 2011,dior,,2091,,,,,women,3.84,,,,white floral,citrus,sweet,fresh,yellow floral
j adore in joy,dior,,1806,,,,,women,3.79,,,,white floral,salty,fruity,yellow floral,sweet
j adore infinissime,dior,,1858,,,,,women,3.79,,,,white floral,tuberose,woody,yellow floral,citrus
j adore l absolu,dior,,1756,,,,,women,4.06,,,,white floral,yellow floral,tuberose,sweet,woody
j adore l or,dior,,2538,,,,,women,4.24,,,,vanilla,amber,white floral,rose,sweet
j adore voile de parfum,dior,,1197,,,,,women,3.96,,,,iris,powdery,musky,rose,violet
jardin d amalfi,creed,,903,,,,,unisex,4.35,,,,citrus,fruity,fresh spicy,green,aromatic
jasmin rouge,tom ford,,3642,,,,,women,4.13,,,,white floral,yellow floral,warm spicy,citrus,woody
jazz,yves saint laurent,,1567,,,,,men,4.11,,,,aromatic,fresh spicy,herbal,warm spicy,lavender
jazz club,maison martin margiela,,11724,,,,,men,4.2,,,,tobacco,sweet,rum,vanilla,woody
joy by dior,dior,,4346,,,,,women,3.38,,,,citrus,woody,powdery,white floral,musky
joy by dior intense,dior,,1384,,,,,women,3.8,,,,vanilla,white floral,powdery,citrus,rose
k by dolce gabbana,dolce gabbana,,2991,,,,,men,3.59,,,,aromatic,citrus,woody,fresh spicy,warm spicy
k by dolce gabbana eau de parfum,dolce gabbana,,2211,,,,,men,3.97,,,,aromatic,woody,citrus,fresh spicy,warm spicy
kalan,parfums de marly,,2220,,,,,unisex,3.69,,,,warm spicy,woody,citrus,fresh spicy,mossy
khamrah,lattafa perfumes,,9276,,,,,unisex,4.39,,,,sweet,warm spicy,vanilla,amber,cinnamon
khamrah qahwa,lattafa perfumes,,1564,,,,,unisex,4.49,,,,warm spicy,sweet,vanilla,coffee,cinnamon
kokorico,jean paul gaultier,,2306,,,,,men,3.84,,,,woody,warm spicy,cacao,green,patchouli
kouros,yves saint laurent,,7401,,,,,men,3.64,,,,musky,animalic,aromatic,powdery,honey
l eau ambree,prada,,2070,,,,,women,4.13,,,,amber,citrus,balsamic,patchouli,woody
l eau the one,dolce gabbana,,1275,,,,,women,3.99,,,,white floral,fruity,vanilla,powdery,sweet
l homme,yves saint laurent,,10040,,,,,men,4.36,,,,warm spicy,citrus,aromatic,fresh spicy,woody
l homme le parfum,yves saint laurent,,899,,,,,men,3.93,,,,woody,aromatic,ozonic,warm spicy,fresh spicy
l homme libre,yves saint laurent,,2250,,,,,men,4.03,,,,fresh spicy,soft spicy,ozonic,aromatic,green
l homme parfum intense,yves saint laurent,,2110,,,,,men,4.16,,,,amber,citrus,animalic,white floral,woody
l homme sport,yves saint laurent,,796,,,,,men,3.84,,,,citrus,woody,aromatic,aldehydic,fresh spicy
l homme ultime,yves saint laurent,,2192,,,,,men,4.37,,,,warm spicy,aromatic,citrus,woody,rose
l imperatrice limited edition,dolce gabbana,,1675,,,,,women,3.83,,,,floral,ozonic,fruity,aquatic,rose
la belle,jean paul gaultier,,6344,,,,,women,4.15,,,,vanilla,fruity,sweet,powdery,aquatic
la belle fleur terrible,jean paul gaultier,,743,,,,,women,4.08,,,,floral,iris,vanilla,powdery,aquatic
la belle le parfum,jean paul gaultier,,3693,,,,,women,4.19,,,,vanilla,sweet,fruity,amber,
la capitale,xerjoff,,1716,,,,,unisex,4.07,,,,fruity,sweet,amber,leather,caramel
la collection couturier parfumeur mitzah,dior,,728,,,,,women,4.41,,,,amber,warm spicy,cinnamon,honey,balsamic
la collection in love again,yves saint laurent,,967,,,,,women,4.18,,,,fruity,floral,rose,citrus,sweet
la collection m7 oud absolu,yves saint laurent,,2568,,,,,men,4.31,,,,amber,oud,patchouli,warm spicy,woody
la nuit de l homme,yves saint laurent,,19533,,,,,men,4.44,,,,aromatic,warm spicy,lavender,woody,fresh spicy
la nuit de l homme bleu electrique,yves saint laurent,,4228,,,,,men,4.56,,,,warm spicy,aromatic,lavender,fresh spicy,woody
la nuit de l homme eau de parfum,yves saint laurent,,1100,,,,,men,3.99,,,,aromatic,warm spicy,woody,leather,vanilla
la nuit de l homme eau electrique,yves saint laurent,,958,,,,,men,3.87,,,,aromatic,vanilla,fresh spicy,woody,citrus
la nuit de l homme frozen cologne,yves saint laurent,,927,,,,,men,4.43,,,,fresh spicy,aromatic,citrus,woody,warm spicy
la nuit de l homme l intense,yves saint laurent,,1067,,,,,men,3.91,,,,powdery,violet,vanilla,iris,woody
la nuit de l homme le parfum,yves saint laurent,,2824,,,,,men,4.25,,,,fresh spicy,fruity,sweet,aromatic,lavender
la tosca,xerjoff,,1108,,,,,women,3.62,,,,ozonic,woody,citrus,aquatic,musky
lavender extreme,tom ford,,1092,,,,,unisex,4.12,,,,aromatic,lavender,vanilla,warm spicy,sweet
layton,parfums de marly,,11455,,,,,unisex,4.46,,,,warm spicy,vanilla,fresh spicy,woody,aromatic
layton exclusif,parfums de marly,,2687,,,,,unisex,4.34,,,,woody,oud,vanilla,powdery,warm spicy
lazy sunday morning,maison martin margiela,,5165,,,,,unisex,3.78,,,,musky,fresh,white floral,aldehydic,rose
le beau,jean paul gaultier,,6599,,,,,men,4.31,,,,coconut,vanilla,sweet,citrus,lactonic
le beau le parfum,jean paul gaultier,,7651,,,,,men,4.56,,,,sweet,woody,coconut,amber,vanilla
le beau male,jean paul gaultier,,1024,,,,,men,3.57,,,,aromatic,fresh spicy,green,lavender,musky
le beau paradise garden,jean paul gaultier,,3316,,,,,men,4.32,,,,green,coconut,sweet,aquatic,vanilla
le lion eau de parfum,chanel,,1912,,,,,unisex,4.11,,,,amber,woody,musky,powdery,citrus
le male,jean paul gaultier,,18841,,,,,men,4.01,,,,aromatic,vanilla,fresh spicy,lavender,warm spicy
le male elixir,jean paul gaultier,,10388,,,,,men,4.56,,,,vanilla,sweet,honey,amber,aromatic
le male essence de parfum,jean paul gaultier,,1589,,,,,men,4.21,,,,warm spicy,aromatic,leather,vanilla,lavender
le male in the navy,jean paul gaultier,,705,,,,,men,4.07,,,,aromatic,marine,green,vanilla,aquatic
le male le parfum,jean paul gaultier,,13406,,,,,men,4.6,,,,warm spicy,vanilla,lavender,aromatic,powdery
le male popeye eau fraiche,jean paul gaultier,,782,,,,,men,4.25,,,,vanilla,aromatic,green,aldehydic,fresh spicy
le male superman eau fraiche,jean paul gaultier,,807,,,,,men,4.25,,,,aromatic,vanilla,green,aldehydic,amber
le male terrible,jean paul gaultier,,991,,,,,men,4.11,,,,lavender,vanilla,aromatic,citrus,soft spicy
les creations de monsieur dior diorissimo eau de toilette,dior,,850,,,,,women,4.13,,,,white floral,fresh,green,yellow floral,
les creations de monsieur dior forever and ever,dior,,3508,,,,,women,4.31,,,,floral,rose,white floral,,
les exclusifs de chanel 1932,chanel,,1011,,,,,women,4.21,,,,floral,woody,fresh,powdery,white floral
les exclusifs de chanel 31 rue cambon,chanel,,1807,,,,,women,4.4,,,,woody,iris,fresh spicy,patchouli,yellow floral
les exclusifs de chanel coromandel,chanel,,4416,,,,,women,4.4,,,,amber,woody,warm spicy,patchouli,balsamic
les exclusifs de chanel cuir de russie,chanel,,1200,,,,,women,4.28,,,,leather,smoky,white floral,animalic,sweet
les exclusifs de chanel cuir de russie 1924,chanel,,1029,,,,,women,4.25,,,,leather,woody,aromatic,smoky,powdery
les exclusifs de chanel eau de cologne,chanel,,756,,,,,women,4.26,,,,citrus,green,aromatic,fresh spicy,fresh
les exclusifs de chanel misia,chanel,,1227,,,,,women,4.14,,,,powdery,violet,iris,floral,earthy
les exclusifs de chanel no 22,chanel,,1196,,,,,women,4.23,,,,white floral,aldehydic,fresh,yellow floral,woody
liam,lattafa perfumes,,777,,,,,unisex,4.47,,,,woody,warm spicy,vanilla,powdery,aromatic
libre,yves saint laurent,,14331,,,,,women,3.93,,,,white floral,citrus,lavender,vanilla,aromatic
libre eau de toilette,yves saint laurent,,2044,,,,,women,3.91,,,,white floral,citrus,lavender,floral,fresh
libre intense,yves saint laurent,,7124,,,,,women,4.26,,,,vanilla,white floral,lavender,citrus,sweet
libre l absolu platine,yves saint laurent,,898,,,,,women,3.62,,,,citrus,lavender,aldehydic,white floral,aromatic
libre le parfum,yves saint laurent,,3062,,,,,women,4.27,,,,vanilla,sweet,citrus,warm spicy,honey
light blue,dolce gabbana,,29708,,,,,women,3.84,,,,citrus,woody,fresh,fruity,aromatic
light blue dreaming in portofino,dolce gabbana,,1217,,,,,women,3.72,,,,fruity,floral,musky,tropical,powdery
light blue eau intense,dolce gabbana,,4390,,,,,women,4.13,,,,citrus,musky,fresh,fruity,aromatic
light blue eau intense pour homme,dolce gabbana,,7990,,,,,men,4.14,,,,aromatic,citrus,marine,fresh spicy,woody
light blue escape to panarea,dolce gabbana,,823,,,,,women,4.03,,,,sweet,white floral,citrus,fruity,amber
light blue forever,dolce gabbana,,1155,,,,,women,3.83,,,,citrus,white floral,musky,woody,fruity
light blue forever pour homme,dolce gabbana,,3004,,,,,men,4.31,,,,citrus,ozonic,aromatic,fresh spicy,woody
light blue pour homme,dolce gabbana,,6384,,,,,men,3.92,,,,citrus,fresh spicy,aromatic,woody,
light blue pour homme italian love,dolce gabbana,,1279,,,,,men,4.35,,,,citrus,ozonic,woody,green,aromatic
light blue pour homme summer vibes,dolce gabbana,,749,,,,,men,3.85,,,,woody,aromatic,citrus,amber,fresh spicy
light blue sun,dolce gabbana,,919,,,,,women,4.02,,,,citrus,coconut,ozonic,vanilla,tropical
light di gioia,giorgio armani,,782,,,,,women,3.66,,,,white floral,citrus,musky,woody,lactonic
lipstick on,maison martin margiela,,1659,,,,,women,4.19,,,,vanilla,powdery,iris,sweet,aromatic
lira,xerjoff,,7101,,,,,women,4.31,,,,citrus,caramel,vanilla,sweet,cinnamon
live jazz,yves saint laurent,,764,,,,,men,4.17,,,,aromatic,citrus,green,fresh spicy,soft spicy
london,tom ford,,783,,,,,unisex,4,,,,warm spicy,fresh spicy,amber,smoky,woody
lost cherry,tom ford,,11354,,,,,unisex,4.13,,,,cherry,sweet,almond,nutty,fruity
love in black,creed,,1442,,,,,women,3.64,,,,powdery,violet,floral,woody,iris
love in white,creed,,2752,,,,,women,3.69,,,,floral,citrus,yellow floral,white floral,powdery
luna rossa,prada,,3893,,,,,men,4.13,,,,aromatic,lavender,green,fresh spicy,citrus
luna rossa black,prada,,5099,,,,,men,4.36,,,,amber,musky,woody,powdery,vanilla
luna rossa carbon,prada,,5969,,,,,men,4.3,,,,fresh spicy,amber,lavender,aromatic,metallic
luna rossa ocean,prada,,3541,,,,,men,4.01,,,,aromatic,musky,powdery,lavender,herbal
luna rossa ocean eau de parfum,prada,,1402,,,,,men,4.16,,,,amber,woody,vanilla,balsamic,citrus
luna rossa sport,prada,,2211,,,,,men,4.17,,,,vanilla,aromatic,lavender,fresh spicy,sweet
m7,yves saint laurent,,3491,,,,,men,4.38,,,,oud,amber,aromatic,fresh spicy,citrus
ma dame,jean paul gaultier,,2290,,,,,women,3.76,,,,sweet,fruity,citrus,rose,musky
maahir black edition,lattafa perfumes,,774,,,,,unisex,4.09,,,,woody,fresh spicy,leather,aromatic,warm spicy
maahir legacy,lattafa perfumes,,1153,,,,,men,4.27,,,,aromatic,fresh spicy,citrus,green,amber
mandarino di amalfi,tom ford,,2731,,,,,unisex,4.16,,,,citrus,aromatic,white floral,fresh spicy,green
mandarino di amalfi acqua,tom ford,,898,,,,,unisex,4.16,,,,citrus,aromatic,fresh spicy,green,white floral
manifesto,yves saint laurent,,7277,,,,,women,3.88,,,,vanilla,woody,fruity,powdery,white floral
manifesto l eclat,yves saint laurent,,933,,,,,women,4.04,,,,vanilla,white floral,woody,aromatic,green
manifesto l elixir,yves saint laurent,,2458,,,,,women,4.14,,,,vanilla,powdery,white floral,citrus,amber
matcha meditation,maison martin margiela,,2514,,,,,unisex,3.87,,,,white floral,green,sweet,citrus,fresh
mefisto,xerjoff,,2592,,,,,men,4.25,,,,citrus,powdery,aromatic,woody,fresh spicy
mefisto gentiluomo,xerjoff,,877,,,,,men,4.3,,,,citrus,powdery,violet,lavender,aromatic
meliora,parfums de marly,,2607,,,,,women,4.04,,,,fruity,soft spicy,fresh,aromatic,green
metallique,tom ford,,3173,,,,,women,3.71,,,,vanilla,aldehydic,powdery,floral,fresh
midnight poison,dior,,9404,,,,,women,4.21,,,,patchouli,citrus,rose,woody,amber
millesime imperial,creed,,5616,,,,,unisex,4.24,,,,marine,citrus,salty,fruity,aromatic
misia eau de parfum,chanel,,812,,,,,women,4.06,,,,powdery,violet,fruity,iris,fresh
