Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
miss dior,dior,,3321,,,,,women,4.13,,,,aromatic,green,woody,earthy,white floral
miss dior 2012,dior,,6909,,,,,women,4.09,,,,patchouli,citrus,rose,woody,white floral
miss dior absolutely blooming,dior,,4515,,,,,women,4.02,,,,fruity,rose,floral,sweet,woody
miss dior blooming bouquet,dior,,9302,,,,,women,4.09,,,,floral,rose,fresh,fruity,musky
miss dior blooming bouquet 2023,dior,,756,,,,,women,3.95,,,,floral,rose,fresh,musky,citrus
miss dior cherie,dior,,7457,,,,,women,4.01,,,,sweet,fruity,caramel,cherry,patchouli
miss dior cherie blooming bouquet 2007,dior,,1167,,,,,women,4.01,,,,floral,fresh,rose,musky,citrus
miss dior cherie blooming bouquet 2011,dior,,705,,,,,women,3.99,,,,rose,floral,citrus,fresh,musky
miss dior cherie eau de parfum,dior,,4998,,,,,women,4.09,,,,fruity,woody,sweet,patchouli,citrus
miss dior cherie eau de toilette 2010,dior,,1461,,,,,women,4.16,,,,sweet,vanilla,fruity,lactonic,patchouli
miss dior cherie l eau,dior,,2796,,,,,women,4.05,,,,white floral,citrus,musky,lactonic,animalic
miss dior eau de parfum 2017,dior,,3297,,,,,women,3.94,,,,citrus,woody,rose,patchouli,sweet
miss dior eau de parfum 2021,dior,,4123,,,,,women,3.84,,,,vanilla,powdery,rose,floral,fruity
miss dior eau de toilette,dior,,2575,,,,,women,4.14,,,,patchouli,rose,citrus,woody,warm spicy
miss dior eau de toilette 2019,dior,,814,,,,,women,3.93,,,,citrus,rose,patchouli,woody,warm spicy
miss dior eau de toilette originale,dior,,1304,,,,,women,4.21,,,,green,patchouli,white floral,aromatic,balsamic
miss dior eau fraiche,dior,,1253,,,,,women,3.7,,,,citrus,white floral,patchouli,woody,green
miss dior le parfum,dior,,3490,,,,,women,4.19,,,,amber,patchouli,rose,vanilla,woody
miss dior parfum 2024,dior,,777,,,,,women,3.87,,,,woody,fruity,amber,sweet,earthy
miss dior rose n roses,dior,,2901,,,,,women,3.75,,,,rose,musky,fresh spicy,citrus,aromatic
mon paris,yves saint laurent,,8072,,,,,women,3.77,,,,fruity,sweet,fresh,patchouli,white floral
mon paris intensement,yves saint laurent,,1077,,,,,women,4,,,,fruity,rose,floral,sweet,vanilla
music festival,maison martin margiela,,1116,,,,,unisex,3.78,,,,woody,smoky,aromatic,patchouli,cannabis
my way,giorgio armani,,9248,,,,,women,3.75,,,,white floral,tuberose,citrus,animalic,vanilla
my way floral,giorgio armani,,810,,,,,women,4.02,,,,citrus,white floral,tuberose,animalic,sweet
my way intense,giorgio armani,,1976,,,,,women,3.9,,,,white floral,tuberose,citrus,vanilla,animalic
my way parfum,giorgio armani,,848,,,,,women,3.86,,,,white floral,citrus,musky,tuberose,powdery
myslf eau de parfum,yves saint laurent,,3804,,,,,men,4.08,,,,citrus,white floral,patchouli,fresh spicy,woody
najdia,lattafa perfumes,,907,,,,,unisex,4.09,,,,citrus,aromatic,warm spicy,aquatic,fresh spicy
nebras,lattafa perfumes,,1725,,,,,unisex,4.31,,,,vanilla,sweet,cacao,warm spicy,amber
neroli portofino,tom ford,,6824,,,,,unisex,3.95,,,,citrus,white floral,fresh spicy,aromatic,
neroli portofino acqua,tom ford,,1107,,,,,unisex,3.93,,,,citrus,white floral,aromatic,fresh spicy,green
nio,xerjoff,,2145,,,,,men,4.3,,,,citrus,green,aromatic,woody,fresh spicy
noir,tom ford,,3786,,,,,men,4.04,,,,amber,powdery,fresh spicy,woody,violet
noir anthracite,tom ford,,1376,,,,,men,3.98,,,,woody,warm spicy,fresh spicy,citrus,leather
noir de noir,tom ford,,7481,,,,,unisex,4.32,,,,earthy,rose,patchouli,warm spicy,vanilla
noir extreme,tom ford,,9120,,,,,men,4.43,,,,warm spicy,sweet,vanilla,woody,powdery
noir extreme parfum,tom ford,,1627,,,,,men,4.37,,,,warm spicy,leather,vanilla,sweet,woody
noir pour femme,tom ford,,5654,,,,,women,4.29,,,,sweet,vanilla,amber,woody,powdery
nu,yves saint laurent,,1975,,,,,women,4.26,,,,warm spicy,fresh spicy,woody,aromatic,powdery
nu eau de toilette,yves saint laurent,,706,,,,,women,4.08,,,,warm spicy,powdery,white floral,amber,floral
oajan,parfums de marly,,4250,,,,,unisex,4.43,,,,amber,warm spicy,vanilla,cinnamon,honey
ocean di gioia,giorgio armani,,1563,,,,,women,4.06,,,,white floral,fresh,green,fruity,citrus
odyssey homme,armaf,,760,,,,,men,4.26,,,,amber,vanilla,warm spicy,powdery,iris
ombre leather 2018,tom ford,,11278,,,,,unisex,4.34,,,,leather,animalic,warm spicy,white floral,amber
ombre leather parfum,tom ford,,2667,,,,,unisex,4.32,,,,leather,woody,animalic,ozonic,aquatic
on a date,maison martin margiela,,1561,,,,,unisex,3.42,,,,rose,fruity,aromatic,woody,earthy
opera,xerjoff,,751,,,,,unisex,4.05,,,,woody,sweet,yellow floral,fruity,fresh spicy
opium 1977,yves saint laurent,,8278,,,,,women,3.96,,,,warm spicy,amber,woody,balsamic,aromatic
opium eau de parfum 2009,yves saint laurent,,6778,,,,,women,3.9,,,,amber,balsamic,sweet,warm spicy,citrus
opium parfum,yves saint laurent,,865,,,,,women,4.57,,,,amber,warm spicy,woody,balsamic,aromatic
opium pour homme,yves saint laurent,,4734,,,,,men,4.31,,,,soft spicy,powdery,fruity,anis,fresh spicy
opium pour homme eau de parfum,yves saint laurent,,730,,,,,men,4.62,,,,soft spicy,powdery,anis,vanilla,fruity
opium vapeurs de parfum,yves saint laurent,,1940,,,,,women,3.98,,,,white floral,amber,citrus,smoky,woody
opulent oud,lattafa perfumes,,842,,,,,unisex,4.08,,,,oud,warm spicy,amber,metallic,rose
orchid soleil,tom ford,,3434,,,,,women,3.65,,,,white floral,vanilla,sweet,tuberose,lactonic
oriana,parfums de marly,,3045,,,,,women,3.92,,,,sweet,citrus,fruity,powdery,white floral
original santal,creed,,2595,,,,,unisex,4.06,,,,aromatic,woody,fresh spicy,warm spicy,lavender
original vetiver,creed,,2788,,,,,unisex,4.21,,,,citrus,woody,aromatic,earthy,warm spicy
oud eau de parfum,acqua di parma,,1024,,,,,unisex,4.33,,,,woody,citrus,oud,leather,aromatic
oud extrait de parfum,maison francis kurkdjian,,766,,,,,unisex,4.23,,,,warm spicy,oud,woody,vanilla,aromatic
oud ispahan,dior,,2113,,,,,unisex,4.09,,,,oud,rose,woody,amber,warm spicy
oud mood,lattafa perfumes,,1403,,,,,unisex,4.05,,,,amber,oud,woody,warm spicy,caramel
oud silk mood,maison francis kurkdjian,,1266,,,,,unisex,3.85,,,,rose,oud,floral,woody,fresh spicy
ouverture,xerjoff,,774,,,,,unisex,4.16,,,,woody,amber,warm spicy,green,citrus
paris,yves saint laurent,,5474,,,,,women,3.86,,,,floral,powdery,rose,violet,green
paris biarritz,chanel,,860,,,,,unisex,4.06,,,,citrus,green,fresh spicy,white floral,
paris deauville,chanel,,1108,,,,,unisex,4.15,,,,citrus,green,fresh spicy,aromatic,patchouli
paris edimbourg,chanel,,923,,,,,unisex,4.29,,,,woody,aromatic,fresh spicy,lavender,
paris riviera,chanel,,830,,,,,unisex,4.07,,,,citrus,floral,white floral,fresh,fresh spicy
paris venise,chanel,,1543,,,,,unisex,4.27,,,,citrus,powdery,iris,vanilla,violet
parisienne,yves saint laurent,,6219,,,,,women,3.77,,,,fruity,rose,floral,violet,powdery
pegasus,parfums de marly,,4720,,,,,men,4.11,,,,almond,vanilla,powdery,nutty,sweet
pegasus exclusif,parfums de marly,,1259,,,,,men,4.26,,,,woody,almond,vanilla,powdery,warm spicy
percival,parfums de marly,,3506,,,,,unisex,4.23,,,,amber,woody,citrus,aromatic,fresh spicy
perseus,parfums de marly,,1082,,,,,men,3.89,,,,citrus,woody,aromatic,fresh spicy,
pikovaya dama 2018,xerjoff,,805,,,,,unisex,4.3,,,,powdery,aldehydic,citrus,woody,fresh
pivoine suzhou,giorgio armani,,1282,,,,,women,4.1,,,,rose,floral,fruity,sweet,fresh
plum japonais,tom ford,,2902,,,,,women,4.34,,,,warm spicy,fruity,amber,sweet,oud
poison,dior,,14700,,,,,women,3.94,,,,fruity,sweet,amber,white floral,woody
poison esprit de parfum,dior,,794,,,,,women,4.57,,,,amber,warm spicy,sweet,woody,fruity
poison girl,dior,,8624,,,,,women,3.93,,,,vanilla,sweet,almond,powdery,citrus
poison girl eau de toilette,dior,,2614,,,,,women,4.07,,,,citrus,vanilla,sweet,caramel,powdery
poison girl unexpected,dior,,1366,,,,,women,3.95,,,,vanilla,citrus,warm spicy,sweet,woody
pour monsieur,chanel,,2453,,,,,men,4.27,,,,aromatic,citrus,woody,earthy,mossy
pour monsieur concentree,chanel,,930,,,,,men,4.28,,,,aromatic,citrus,fresh spicy,earthy,vanilla
prada,prada,,4352,,,,,women,4.01,,,,woody,warm spicy,patchouli,amber,balsamic
prada amber pour homme prada man,prada,,4980,,,,,men,4.23,,,,warm spicy,amber,aromatic,citrus,woody
prada candy,prada,,15060,,,,,women,3.77,,,,caramel,powdery,amber,sweet,vanilla
prada candy florale,prada,,1997,,,,,women,3.64,,,,floral,fresh,honey,sweet,citrus
prada candy gloss,prada,,1891,,,,,women,3.9,,,,sweet,cherry,almond,fruity,nutty
prada candy kiss,prada,,2237,,,,,women,4.06,,,,musky,white floral,vanilla,powdery,sweet
prada candy l eau,prada,,2306,,,,,women,3.96,,,,caramel,sweet,amber,citrus,musky
prada candy night,prada,,1452,,,,,women,3.82,,,,vanilla,sweet,chocolate,warm spicy,powdery
prada l homme,prada,,11046,,,,,men,4.43,,,,powdery,iris,violet,woody,fresh spicy
prada l homme intense,prada,,4326,,,,,men,4.51,,,,iris,powdery,amber,woody,earthy
prada l homme l eau,prada,,2365,,,,,men,4.42,,,,powdery,iris,woody,warm spicy,violet
prada la femme,prada,,2897,,,,,women,3.93,,,,floral,tuberose,beeswax,tropical,white floral
prada la femme intense,prada,,1065,,,,,women,3.83,,,,white floral,woody,tuberose,floral,yellow floral
prada la femme l eau,prada,,719,,,,,women,3.96,,,,citrus,floral,tuberose,yellow floral,tropical
prada paradoxe,prada,,4909,,,,,women,3.85,,,,white floral,citrus,sweet,amber,vanilla
prada paradoxe intense,prada,,1067,,,,,women,3.94,,,,white floral,vanilla,mossy,citrus,fruity
prada tendre,prada,,912,,,,,women,4.09,,,,woody,citrus,warm spicy,aromatic,amber
pure poison,dior,,15676,,,,,women,4.04,,,,white floral,citrus,woody,,
pure poison elixir,dior,,1230,,,,,women,4.34,,,,white floral,citrus,vanilla,cacao,sweet
q by dolce gabbana,dolce gabbana,,1245,,,,,women,3.7,,,,citrus,powdery,musky,cherry,woody
qaa ed,lattafa perfumes,,1507,,,,,unisex,4.17,,,,warm spicy,leather,cinnamon,woody,oud
qaed al fursan,lattafa perfumes,,2767,,,,,unisex,4.31,,,,fruity,sweet,tropical,woody,fresh
qaed al fursan unlimited,lattafa perfumes,,1133,,,,,unisex,3.91,,,,vanilla,sweet,coconut,tropical,powdery
raghba wood intense,lattafa perfumes,,1366,,,,,men,4.14,,,,woody,amber,sweet,balsamic,smoky
ramz lattafa silver,lattafa perfumes,,1131,,,,,unisex,4.41,,,,vanilla,aromatic,sweet,fruity,powdery
red jeans,versace,,3145,,,,,women,3.53,,,,floral,fruity,powdery,rose,sweet
richwood,xerjoff,,1050,,,,,unisex,4.31,,,,woody,patchouli,citrus,warm spicy,powdery
rive gauche,yves saint laurent,,4114,,,,,women,3.92,,,,aldehydic,white floral,woody,earthy,fresh
rive gauche pour homme,yves saint laurent,,1962,,,,,men,4.39,,,,aromatic,woody,fresh spicy,lavender,warm spicy
rosa nobile,acqua di parma,,1396,,,,,women,3.92,,,,rose,floral,fresh,citrus,powdery
rose prick,tom ford,,2470,,,,,unisex,3.68,,,,rose,warm spicy,patchouli,fresh spicy,earthy
rouge trafalgar,dior,,947,,,,,women,4.03,,,,fruity,sweet,citrus,musky,
royal mayfair,creed,,1467,,,,,unisex,4.11,,,,woody,aromatic,citrus,camphor,rose
royal oud,creed,,4414,,,,,unisex,4.37,,,,woody,musky,powdery,citrus,aromatic
royal princess oud,creed,,711,,,,,women,3.97,,,,powdery,woody,violet,citrus,warm spicy
royal water,creed,,1574,,,,,unisex,4.07,,,,citrus,fresh spicy,fresh,aromatic,musky
safanad,parfums de marly,,1875,,,,,women,4.13,,,,sweet,white floral,citrus,vanilla,powdery
sahara noir,tom ford,,2120,,,,,women,4.06,,,,amber,woody,balsamic,warm spicy,smoky
saharienne,yves saint laurent,,1837,,,,,women,3.8,,,,citrus,white floral,aromatic,green,warm spicy
sailing day,maison martin margiela,,2647,,,,,unisex,3.66,,,,marine,aromatic,aldehydic,aquatic,woody
sakura,dior,,719,,,,,unisex,4.07,,,,floral,powdery,fresh,green,rose
santal blush,tom ford,,2865,,,,,women,4.12,,,,woody,warm spicy,powdery,fresh spicy,musky
sauvage,dior,,23727,,,,,men,3.88,,,,fresh spicy,amber,citrus,aromatic,musky
sauvage eau de parfum,dior,,9248,,,,,men,4.19,,,,fresh spicy,citrus,amber,lavender,musky
sauvage elixir,dior,,11229,,,,,men,4.33,,,,warm spicy,fresh spicy,woody,aromatic,lavender
sauvage parfum,dior,,3846,,,,,men,4.04,,,,citrus,woody,amber,aromatic,vanilla
sauvage very cool spray,dior,,786,,,,,men,4.22,,,,fresh spicy,citrus,aromatic,amber,woody
scandal,jean paul gaultier,,7241,,,,,women,3.85,,,,honey,sweet,white floral,citrus,caramel
scandal a paris,jean paul gaultier,,996,,,,,women,4,,,,honey,sweet,fruity,white floral,floral
scandal by night,jean paul gaultier,,2710,,,,,women,4.2,,,,sweet,honey,vanilla,white floral,cherry
scandal le parfum,jean paul gaultier,,1622,,,,,women,4.19,,,,caramel,vanilla,white floral,sweet,salty
scandal pour homme,jean paul gaultier,,4284,,,,,men,4.29,,,,caramel,aromatic,sweet,citrus,vanilla
scandal pour homme le parfum,jean paul gaultier,,1679,,,,,men,4.43,,,,aromatic,vanilla,woody,fresh spicy,warm spicy
sedley,parfums de marly,,3060,,,,,unisex,4.23,,,,citrus,aromatic,fresh spicy,woody,amber
sensi,giorgio armani,,2750,,,,,women,4.31,,,,white floral,sweet,almond,nutty,amber
sheikh al shuyukh luxe edition,lattafa perfumes,,983,,,,,unisex,4.02,,,,warm spicy,woody,amber,caramel,rose
si,giorgio armani,,17074,,,,,women,3.82,,,,woody,vanilla,aromatic,soft spicy,fruity
si eau de toilette,giorgio armani,,1583,,,,,women,3.8,,,,fruity,floral,sweet,woody,citrus
si fiori,giorgio armani,,3285,,,,,women,4.19,,,,vanilla,fruity,citrus,powdery,rose
si intense,giorgio armani,,2701,,,,,women,4.01,,,,fruity,woody,floral,aromatic,soft spicy
si intense 2021,giorgio armani,,1810,,,,,women,4.1,,,,fruity,amber,warm spicy,rose,woody
si passione,giorgio armani,,5723,,,,,women,3.8,,,,fruity,sweet,woody,vanilla,rose
si passione eclat de parfum,giorgio armani,,843,,,,,women,3.7,,,,fruity,rose,musky,floral,citrus
si passione intense,giorgio armani,,865,,,,,women,3.9,,,,woody,fruity,musky,powdery,white floral
sicily,dolce gabbana,,4217,,,,,women,4.09,,,,white floral,fruity,fresh spicy,powdery,floral
silver mountain water,creed,,7538,,,,,unisex,4.18,,,,citrus,green,fruity,musky,woody
sky di gioia,giorgio armani,,982,,,,,women,3.71,,,,fruity,fresh,rose,floral,tropical
soleil blanc,tom ford,,5925,,,,,unisex,4.09,,,,white floral,coconut,sweet,tuberose,amber
soleil brulant,tom ford,,1043,,,,,unisex,3.72,,,,amber,citrus,woody,honey,sweet
soleil neige,tom ford,,2082,,,,,unisex,4.12,,,,white floral,amber,citrus,vanilla,powdery
spice and wood,creed,,1231,,,,,unisex,4.32,,,,woody,fresh spicy,warm spicy,powdery,citrus
spicebomb,viktor rolf,,11529,,,,,men,4.3,,,,warm spicy,cinnamon,tobacco,sweet,soft spicy
spicebomb infrared,viktor rolf,,2021,,,,,men,4.32,,,,warm spicy,cinnamon,tobacco,sweet,fruity
spicebomb night vision eau de parfum,viktor rolf,,1592,,,,,men,4.21,,,,fresh spicy,aromatic,warm spicy,woody,amber
spicebomb night vision eau de toilette,viktor rolf,,1238,,,,,men,3.68,,,,warm spicy,fresh spicy,aromatic,citrus,fruity
spring flower,creed,,1599,,,,,women,3.63,,,,fruity,fresh,white floral,musky,rose
starlight,xerjoff,,1522,,,,,unisex,4.42,,,,warm spicy,cinnamon,aromatic,almond,amber
sublime vanille,creed,,1078,,,,,unisex,4.02,,,,vanilla,citrus,aromatic,powdery,sweet
sun di gioia,giorgio armani,,1975,,,,,women,3.87,,,,floral,amber,vanilla,tropical,yellow floral
supremacy in oud,afnan,,771,,,,,unisex,4.34,,,,warm spicy,fresh spicy,oud,sweet,patchouli
supremacy not only intense,afnan,,2272,,,,,men,4.41,,,,fruity,mossy,woody,earthy,citrus
supremacy silver,afnan,,1567,,,,,men,4.09,,,,fruity,leather,woody,sweet,smoky
tabarome,creed,,1168,,,,,men,4.01,,,,citrus,warm spicy,tobacco,woody,sweet
tea escape,maison martin margiela,,796,,,,,women,3.93,,,,green,lactonic,fresh spicy,aromatic,white floral
tendre poison,dior,,3151,,,,,women,4.04,,,,white floral,citrus,floral,tuberose,sweet
terra di gioia,giorgio armani,,943,,,,,women,3.87,,,,floral,sweet,amber,woody,white floral
the dreamer,versace,,4086,,,,,men,4.08,,,,white floral,aromatic,iris,powdery,fresh spicy
the one,dolce gabbana,,15640,,,,,women,3.84,,,,fruity,white floral,vanilla,powdery,sweet
the one desire,dolce gabbana,,2737,,,,,women,3.93,,,,caramel,vanilla,white floral,tuberose,fruity
the one eau de toilette,dolce gabbana,,1176,,,,,women,3.98,,,,white floral,sweet,fruity,yellow floral,vanilla
the one essence,dolce gabbana,,911,,,,,women,4.08,,,,white floral,fruity,vanilla,amber,powdery
the one for men,dolce gabbana,,12386,,,,,men,4.25,,,,warm spicy,amber,tobacco,aromatic,citrus
the one for men eau de parfum,dolce gabbana,,11353,,,,,men,4.49,,,,warm spicy,amber,tobacco,citrus,aromatic
the one for men eau de parfum intense,dolce gabbana,,1389,,,,,men,4.27,,,,warm spicy,woody,amber,aromatic,musky
the one gentleman,dolce gabbana,,1561,,,,,men,3.91,,,,fresh spicy,warm spicy,vanilla,lavender,aromatic
the one grey,dolce gabbana,,1120,,,,,men,3.79,,,,aromatic,fresh spicy,citrus,warm spicy,woody
the one luminous night,dolce gabbana,,841,,,,,men,4.62,,,,amber,fresh spicy,sweet,aromatic,warm spicy
the one mysterious night,dolce gabbana,,841,,,,,men,4.26,,,,amber,rose,oud,warm spicy,woody
the one royal night,dolce gabbana,,1123,,,,,men,4.36,,,,woody,warm spicy,amber,aromatic,fresh spicy
the one sport,dolce gabbana,,972,,,,,men,3.44,,,,aquatic,woody,aromatic,warm spicy,fresh spicy
the only one,dolce gabbana,,5345,,,,,women,3.94,,,,caramel,sweet,powdery,vanilla,violet
the only one eau de parfum intense,dolce gabbana,,2555,,,,,women,4.19,,,,white floral,vanilla,citrus,coconut,woody
the yulong,giorgio armani,,915,,,,,unisex,4.21,,,,citrus,green,white floral,aromatic,woody
tobacco oud,tom ford,,3433,,,,,unisex,4.2,,,,warm spicy,tobacco,woody,whiskey,oud
tobacco vanille,tom ford,,22332,,,,,unisex,4.23,,,,vanilla,sweet,tobacco,warm spicy,fruity
tom ford for men,tom ford,,2313,,,,,men,4.04,,,,citrus,warm spicy,woody,fresh spicy,aromatic
tony iommi monkey special,xerjoff,,2066,,,,,unisex,4.33,,,,warm spicy,woody,sweet,vanilla,patchouli
torino21,xerjoff,,2368,,,,,unisex,4.53,,,,aromatic,fresh spicy,green,citrus,herbal
torino22,xerjoff,,801,,,,,unisex,4.31,,,,woody,aromatic,warm spicy,camphor,fresh spicy
tres nuit,armaf,,2680,,,,,men,4.14,,,,citrus,powdery,violet,lavender,aromatic
tubereuse nue,tom ford,,1010,,,,,unisex,3.71,,,,white floral,tuberose,musky,amber,leather
turathi blue,afnan,,2466,,,,,men,4.4,,,,citrus,musky,fresh,woody,amber
tuscan leather,tom ford,,8561,,,,,unisex,4.27,,,,leather,fruity,animalic,sweet,amber
tuxedo,yves saint laurent,,2749,,,,,unisex,4.45,,,,patchouli,amber,vanilla,ozonic,fresh spicy
uden,xerjoff,,1668,,,,,men,4.4,,,,citrus,woody,vanilla,powdery,fresh
ultra male,jean paul gaultier,,12479,,,,,men,4.44,,,,vanilla,fruity,sweet,aromatic,cinnamon
under the lemon tree,maison martin margiela,,2765,,,,,unisex,3.82,,,,citrus,green,aromatic,woody,fresh spicy
valaya,parfums de marly,,1954,,,,,women,3.8,,,,musky,citrus,fresh,white floral,aldehydic
vanilla diorama,dior,,1739,,,,,unisex,4.13,,,,warm spicy,vanilla,woody,sweet,citrus
vanilla sex,tom ford,,1539,,,,,unisex,3.11,,,,vanilla,almond,sweet,nutty,powdery
vanille fatale,tom ford,,2620,,,,,unisex,4.11,,,,vanilla,warm spicy,sweet,amber,woody
vanitas,versace,,2662,,,,,women,3.84,,,,white floral,floral,citrus,sweet,woody
vanitas eau de toilette,versace,,786,,,,,women,3.88,,,,floral,rose,fruity,white floral,green
velvet orchid,tom ford,,7726,,,,,women,4.03,,,,floral,sweet,powdery,amber,woody
velvet orchid lumiere,tom ford,,1233,,,,,women,3.97,,,,sweet,floral,honey,woody,powdery
venetian bergamot,tom ford,,1357,,,,,unisex,4.16,,,,woody,citrus,white floral,fresh spicy,warm spicy
ventana pour homme,armaf,,754,,,,,men,4.12,,,,citrus,aromatic,woody,fresh spicy,lavender
versace l homme,versace,,2236,,,,,men,3.91,,,,citrus,warm spicy,aromatic,woody,green
versace man,versace,,1748,,,,,men,4.26,,,,amber,warm spicy,tobacco,musky,fresh spicy
versace man eau fraiche,versace,,13065,,,,,men,4.15,,,,citrus,aromatic,woody,fruity,fresh spicy
versace pour femme,versace,,2901,,,,,women,3.94,,,,floral,fresh,fruity,white floral,woody
versace pour femme dylan blue,versace,,4760,,,,,women,3.74,,,,fruity,floral,green,rose,fresh
versace pour femme dylan purple,versace,,1961,,,,,women,3.99,,,,floral,fruity,citrus,amber,musky
versace pour femme dylan turquoise,versace,,2768,,,,,women,3.66,,,,citrus,woody,fruity,musky,soft spicy
versace pour homme,versace,,16436,,,,,men,4.29,,,,citrus,aromatic,fresh spicy,floral,rose
versace pour homme dylan blue,versace,,15936,,,,,men,4.15,,,,amber,citrus,fresh spicy,musky,aquatic
versace pour homme oud noir,versace,,3034,,,,,men,4.24,,,,oud,warm spicy,fresh spicy,citrus,woody
versace woman,versace,,3096,,,,,women,3.71,,,,fruity,rose,sweet,floral,musky
versense,versace,,10242,,,,,women,4.01,,,,citrus,woody,fresh spicy,aromatic,white floral
versus,versace,,1603,,,,,women,3.59,,,,citrus,musky,white floral,aromatic,sweet
vetiver d hiver vetiver babylone,giorgio armani,,1098,,,,,men,4.25,,,,citrus,aromatic,woody,earthy,
viking,creed,,3188,,,,,men,3.95,,,,aromatic,fresh spicy,green,citrus,soft spicy
viking cologne,creed,,772,,,,,men,3.91,,,,aromatic,citrus,woody,fresh spicy,lavender
violet blonde,tom ford,,3321,,,,,women,4.04,,,,iris,powdery,musky,ozonic,woody
virgin island water,creed,,6903,,,,,unisex,4.31,,,,citrus,sweet,coconut,vanilla,lactonic
when the rain stops,maison martin margiela,,1976,,,,,women,3.6,,,,aquatic,woody,green,ozonic,rose
white patchouli,tom ford,,5126,,,,,women,3.81,,,,woody,patchouli,white floral,floral,warm spicy
white suede,tom ford,,3783,,,,,women,4.15,,,,musky,powdery,leather,warm spicy,white floral
xj 1861 decas,xerjoff,,740,,,,,unisex,4.04,,,,amber,citrus,vanilla,balsamic,sweet
xj 1861 naxos,xerjoff,,9969,,,,,unisex,4.51,,,,sweet,vanilla,honey,tobacco,lavender
xj 1861 renaissance,xerjoff,,2973,,,,,unisex,4.3,,,,citrus,green,aromatic,fresh spicy,woody
xj 1861 zefiro,xerjoff,,1372,,,,,unisex,4.23,,,,warm spicy,aromatic,amber,woody,balsamic
y,yves saint laurent,,1182,,,,,women,4.17,,,,green,white floral,earthy,woody,aldehydic
y eau de parfum,yves saint laurent,,15024,,,,,men,4.38,,,,aromatic,woody,fresh spicy,warm spicy,amber
y eau de parfum intense,yves saint laurent,,1644,,,,,men,4.13,,,,aromatic,woody,fresh spicy,warm spicy,herbal
y eau de toilette,yves saint laurent,,1220,,,,,men,4.2,,,,aromatic,fresh spicy,citrus,aldehydic,amber
y eau fraiche,yves saint laurent,,1028,,,,,men,4.2,,,,aromatic,fresh spicy,citrus,warm spicy,green
y elixir,yves saint laurent,,788,,,,,men,3.45,,,,fresh spicy,aromatic,lavender,amber,herbal
y le parfum,yves saint laurent,,3635,,,,,men,4.37,,,,aromatic,fresh spicy,fresh,warm spicy,herbal
y live,yves saint laurent,,839,,,,,men,4.06,,,,aromatic,citrus,fresh spicy,white floral,warm spicy
yara,lattafa perfumes,,3433,,,,,women,4.1,,,,sweet,vanilla,powdery,tropical,musky
yara tous,lattafa perfumes,,1000,,,,,women,3.96,,,,tropical,sweet,vanilla,fruity,white floral
yellow diamond,versace,,6138,,,,,women,3.65,,,,citrus,floral,yellow floral,powdery,sweet
yellow diamond intense,versace,,1111,,,,,women,3.77,,,,citrus,white floral,floral,fruity,fresh
yves saint laurent y,yves saint laurent,,3429,,,,,men,3.87,,,,aromatic,fresh,citrus,fresh spicy,green
yvresse champagne,yves saint laurent,,2406,,,,,women,4.12,,,,fruity,powdery,sweet,warm spicy,amber